date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,8:00 PM EDT,Arizona Cardinals,Kansas City Chiefs,State Farm Stadium,Glendale,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,9:30 PM EDT,Denver Broncos,Arizona Cardinals,Empower Field at Mile High,Denver,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,10:00 PM EDT,Arizona Cardinals,Las Vegas Raiders,State Farm Stadium,Glendale,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,New Orleans Saints,Arizona Cardinals,Caesars Superdome,New Orleans,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,4:05 PM EDT,Arizona Cardinals,Carolina Panthers,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,4:25 PM EDT,San Francisco 49ers,Arizona Cardinals,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-25,8:15 PM EDT,Arizona Cardinals,Seattle Seahawks,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:05 PM EDT,Arizona Cardinals,Tennessee Titans,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Indianapolis Colts,Arizona Cardinals,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,4:25 PM EDT,Arizona Cardinals,Green Bay Packers,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-03,8:15 PM EST,Dallas Cowboys,Arizona Cardinals,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,4:05 PM EST,Seattle Seahawks,Arizona Cardinals,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,4:05 PM EST,Arizona Cardinals,San Francisco 49ers,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,4:05 PM EST,Arizona Cardinals,Jacksonville Jaguars,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Tampa Bay Buccaneers,Arizona Cardinals,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,4:25 PM EST,Arizona Cardinals,Los Angeles Rams,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Houston Texans,Arizona Cardinals,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:05 PM EST,Arizona Cardinals,Atlanta Falcons,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
