date,time,home_team,away_team,venue,city,competition,status,source
2025-08-08,7:00 PM EDT,Atlanta Falcons,Detroit Lions,Mercedes-Benz Stadium,Atlanta,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-15,7:00 PM EDT,Atlanta Falcons,Tennessee Titans,Mercedes-Benz Stadium,Atlanta,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-22,8:00 PM EDT,Dallas Cowboys,Atlanta Falcons,AT&T Stadium,Arlington,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Atlanta Falcons,Tampa Bay Buccaneers,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,8:20 PM EDT,Minnesota Vikings,Atlanta Falcons,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Carolina Panthers,Atlanta Falcons,Bank of America Stadium,Charlotte,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Atlanta Falcons,Washington Commanders,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-13,7:15 PM EDT,Atlanta Falcons,Buffalo Bills,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,8:20 PM EDT,San Francisco 49ers,Atlanta Falcons,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Atlanta Falcons,Miami Dolphins,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,New England Patriots,Atlanta Falcons,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,9:30 AM EST,Indianapolis Colts,Atlanta Falcons,Olympic Stadium,Berlin,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Atlanta Falcons,Carolina Panthers,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,4:25 PM EST,New Orleans Saints,Atlanta Falcons,Caesars Superdome,New Orleans,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,New York Jets,Atlanta Falcons,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Atlanta Falcons,Seattle Seahawks,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-11,8:15 PM EST,Tampa Bay Buccaneers,Atlanta Falcons,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:05 PM EST,Arizona Cardinals,Atlanta Falcons,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-29,8:15 PM EST,Atlanta Falcons,Los Angeles Rams,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
