date,time,home_team,away_team,venue,city,competition,status,source
2025-08-07,7:00 PM EDT,Baltimore Ravens,Indianapolis Colts,M&T Bank Stadium,Baltimore,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,7:00 PM EDT,Dallas Cowboys,Baltimore Ravens,AT&T Stadium,Arlington,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,12:00 PM EDT,Washington Commanders,Baltimore Ravens,Northwest Stadium,Landover,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,8:20 PM EDT,Buffalo Bills,Baltimore Ravens,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Baltimore Ravens,Cleveland Browns,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-22,8:15 PM EDT,Baltimore Ravens,Detroit Lions,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:25 PM EDT,Kansas City Chiefs,Baltimore Ravens,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,Baltimore Ravens,Houston Texans,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Baltimore Ravens,Los Angeles Rams,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Baltimore Ravens,Chicago Bears,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-30,8:15 PM EDT,Miami Dolphins,Baltimore Ravens,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Minnesota Vikings,Baltimore Ravens,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,4:25 PM EST,Cleveland Browns,Baltimore Ravens,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Baltimore Ravens,New York Jets,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-27,8:20 PM EST,Baltimore Ravens,Cincinnati Bengals,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Baltimore Ravens,Pittsburgh Steelers,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Cincinnati Bengals,Baltimore Ravens,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Baltimore Ravens,New England Patriots,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
