date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,1:00 PM EDT,Buffalo Bills,New York Giants,Highmark Stadium,Orchard Park,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-17,8:00 PM EDT,Chicago Bears,Buffalo Bills,Soldier Field,Chicago,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,7:30 PM EDT,Tampa Bay Buccaneers,Buffalo Bills,Raymond James Stadium,Tampa,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,8:20 PM EDT,Buffalo Bills,Baltimore Ravens,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,New York Jets,Buffalo Bills,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-18,8:15 PM EDT,Buffalo Bills,Miami Dolphins,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Buffalo Bills,New Orleans Saints,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,8:20 PM EDT,Buffalo Bills,New England Patriots,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-13,7:15 PM EDT,Atlanta Falcons,Buffalo Bills,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Carolina Panthers,Buffalo Bills,Bank of America Stadium,Charlotte,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,4:25 PM EST,Buffalo Bills,Kansas City Chiefs,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Miami Dolphins,Buffalo Bills,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Buffalo Bills,Tampa Bay Buccaneers,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-20,8:15 PM EST,Houston Texans,Buffalo Bills,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,4:25 PM EST,Pittsburgh Steelers,Buffalo Bills,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,4:25 PM EST,Buffalo Bills,Cincinnati Bengals,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,New England Patriots,Buffalo Bills,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Cleveland Browns,Buffalo Bills,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,4:25 PM EST,Buffalo Bills,Philadelphia Eagles,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
