date,time,home_team,away_team,venue,city,competition,status,source
2025-08-10,1:00 PM EDT,Chicago Bears,Miami Dolphins,Soldier Field,Chicago,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-17,8:00 PM EDT,Chicago Bears,Buffalo Bills,Soldier Field,Chicago,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-22,8:20 PM EDT,Kansas City Chiefs,Chicago Bears,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-08,8:15 PM EDT,Chicago Bears,Minnesota Vikings,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Detroit Lions,Chicago Bears,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,4:25 PM EDT,Chicago Bears,Dallas Cowboys,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:25 PM EDT,Las Vegas Raiders,Chicago Bears,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-13,8:15 PM EDT,Washington Commanders,Chicago Bears,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Chicago Bears,New Orleans Saints,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Baltimore Ravens,Chicago Bears,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Cincinnati Bengals,Chicago Bears,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Chicago Bears,New York Giants,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Minnesota Vikings,Chicago Bears,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Chicago Bears,Pittsburgh Steelers,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-28,3:00 PM EST,Philadelphia Eagles,Chicago Bears,Lincoln Financial Field,Philadelphia,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Green Bay Packers,Chicago Bears,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Chicago Bears,Cleveland Browns,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,8:20 PM EST,San Francisco 49ers,Chicago Bears,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
