date,time,home_team,away_team,venue,city,competition,status,source
2025-08-07,7:30 PM EDT,Philadelphia Eagles,Cincinnati Bengals,Lincoln Financial Field,Philadelphia,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-18,8:00 PM EDT,Washington Commanders,Cincinnati Bengals,Northwest Stadium,Landover,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,1:00 PM EDT,Cincinnati Bengals,Indianapolis Colts,Paycor Stadium,Cincinnati,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Cleveland Browns,Cincinnati Bengals,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Cincinnati Bengals,Jacksonville Jaguars,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Minnesota Vikings,Cincinnati Bengals,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-29,8:15 PM EDT,Denver Broncos,Cincinnati Bengals,Empower Field at Mile High,Denver,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:25 PM EDT,Cincinnati Bengals,Detroit Lions,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,4:25 PM EDT,Green Bay Packers,Cincinnati Bengals,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-16,8:15 PM EDT,Cincinnati Bengals,Pittsburgh Steelers,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Cincinnati Bengals,New York Jets,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Cincinnati Bengals,Chicago Bears,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Pittsburgh Steelers,Cincinnati Bengals,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Cincinnati Bengals,New England Patriots,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-27,8:20 PM EST,Baltimore Ravens,Cincinnati Bengals,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,4:25 PM EST,Buffalo Bills,Cincinnati Bengals,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Cincinnati Bengals,Baltimore Ravens,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,8:20 PM EST,Miami Dolphins,Cincinnati Bengals,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
