date,time,home_team,away_team,venue,city,competition,status,source
2025-08-08,7:00 PM EDT,Carolina Panthers,Cleveland Browns,Bank of America Stadium,Charlotte,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Philadelphia Eagles,Cleveland Browns,Lincoln Financial Field,Philadelphia,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,1:00 PM EDT,Cleveland Browns,Los Angeles Rams,Huntington Bank Field,Cleveland,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Cleveland Browns,Cincinnati Bengals,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Baltimore Ravens,Cleveland Browns,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Cleveland Browns,Green Bay Packers,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Detroit Lions,Cleveland Browns,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,9:30 AM EDT,Cleveland Browns,Minnesota Vikings,Tottenham Hotspur Stadium,London,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Pittsburgh Steelers,Cleveland Browns,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Cleveland Browns,Miami Dolphins,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,New England Patriots,Cleveland Browns,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,New York Jets,Cleveland Browns,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,4:25 PM EST,Cleveland Browns,Baltimore Ravens,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,4:05 PM EST,Las Vegas Raiders,Cleveland Browns,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Cleveland Browns,San Francisco 49ers,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Cleveland Browns,Tennessee Titans,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Chicago Bears,Cleveland Browns,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Cleveland Browns,Buffalo Bills,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,Cleveland Browns,Pittsburgh Steelers,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
