date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,7:00 PM EDT,Los Angeles Rams,Dallas Cowboys,SoFi Stadium,Inglewood,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,7:00 PM EDT,Dallas Cowboys,Baltimore Ravens,AT&T Stadium,Arlington,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-22,8:00 PM EDT,Dallas Cowboys,Atlanta Falcons,AT&T Stadium,Arlington,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-04,8:20 PM EDT,Philadelphia Eagles,Dallas Cowboys,Lincoln Financial Field,Philadelphia,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Dallas Cowboys,New York Giants,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,4:25 PM EDT,Chicago Bears,Dallas Cowboys,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,8:20 PM EDT,Dallas Cowboys,Green Bay Packers,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,New York Jets,Dallas Cowboys,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Carolina Panthers,Dallas Cowboys,Bank of America Stadium,Charlotte,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,4:25 PM EDT,Dallas Cowboys,Washington Commanders,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,4:25 PM EDT,Denver Broncos,Dallas Cowboys,Empower Field at Mile High,Denver,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-03,8:15 PM EST,Dallas Cowboys,Arizona Cardinals,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-17,8:15 PM EST,Las Vegas Raiders,Dallas Cowboys,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,4:25 PM EST,Dallas Cowboys,Philadelphia Eagles,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-27,4:30 PM EST,Dallas Cowboys,Kansas City Chiefs,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-04,8:15 PM EST,Detroit Lions,Dallas Cowboys,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,8:20 PM EST,Dallas Cowboys,Minnesota Vikings,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Dallas Cowboys,Los Angeles Chargers,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-25,1:00 PM EST,Washington Commanders,Dallas Cowboys,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
