date,time,home_team,away_team,venue,city,competition,status,source
2025-08-08,7:00 PM EDT,Atlanta Falcons,Detroit Lions,Mercedes-Benz Stadium,Atlanta,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Detroit Lions,Miami Dolphins,Ford Field,Detroit,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,1:00 PM EDT,Detroit Lions,Houston Texans,Ford Field,Detroit,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,4:25 PM EDT,Green Bay Packers,Detroit Lions,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Detroit Lions,Chicago Bears,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-22,8:15 PM EDT,Baltimore Ravens,Detroit Lions,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Detroit Lions,Cleveland Browns,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:25 PM EDT,Cincinnati Bengals,Detroit Lions,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,8:20 PM EDT,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-20,7:00 PM EDT,Detroit Lions,Tampa Bay Buccaneers,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Detroit Lions,Minnesota Vikings,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,4:25 PM EST,Washington Commanders,Detroit Lions,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,8:20 PM EST,Philadelphia Eagles,Detroit Lions,Lincoln Financial Field,Philadelphia,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Detroit Lions,New York Giants,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-27,1:00 PM EST,Detroit Lions,Green Bay Packers,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-04,8:15 PM EST,Detroit Lions,Dallas Cowboys,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,4:25 PM EST,Los Angeles Rams,Detroit Lions,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:25 PM EST,Detroit Lions,Pittsburgh Steelers,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-25,4:30 PM EST,Minnesota Vikings,Detroit Lions,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
