date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,8:00 PM EDT,Green Bay Packers,New York Jets,Lambeau Field,Green Bay,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Indianapolis Colts,Green Bay Packers,Lucas Oil Stadium,Indianapolis,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,4:00 PM EDT,Green Bay Packers,Seattle Seahawks,Lambeau Field,Green Bay,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,4:25 PM EDT,Green Bay Packers,Detroit Lions,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-11,8:15 PM EDT,Green Bay Packers,Washington Commanders,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Cleveland Browns,Green Bay Packers,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,8:20 PM EDT,Dallas Cowboys,Green Bay Packers,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,4:25 PM EDT,Green Bay Packers,Cincinnati Bengals,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,4:25 PM EDT,Arizona Cardinals,Green Bay Packers,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,8:20 PM EDT,Pittsburgh Steelers,Green Bay Packers,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Green Bay Packers,Carolina Panthers,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-10,8:15 PM EST,Green Bay Packers,Philadelphia Eagles,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,New York Giants,Green Bay Packers,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Green Bay Packers,Minnesota Vikings,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-27,1:00 PM EST,Detroit Lions,Green Bay Packers,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Green Bay Packers,Chicago Bears,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,4:25 PM EST,Denver Broncos,Green Bay Packers,Empower Field at Mile High,Denver,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
