date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,4:00 PM EDT,Minnesota Vikings,Houston Texans,U.S. Bank Stadium,Minneapolis,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Houston Texans,Carolina Panthers,NRG Stadium,Houston,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,1:00 PM EDT,Detroit Lions,Houston Texans,Ford Field,Detroit,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,4:25 PM EDT,Los Angeles Rams,Houston Texans,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-15,7:00 PM EDT,Houston Texans,Tampa Bay Buccaneers,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Jacksonville Jaguars,Houston Texans,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Houston Texans,Tennessee Titans,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,Baltimore Ravens,Houston Texans,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-20,10:00 PM EDT,Seattle Seahawks,Houston Texans,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Houston Texans,San Francisco 49ers,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Houston Texans,Denver Broncos,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Houston Texans,Jacksonville Jaguars,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Tennessee Titans,Houston Texans,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-20,8:15 PM EST,Houston Texans,Buffalo Bills,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Indianapolis Colts,Houston Texans,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,8:20 PM EST,Kansas City Chiefs,Houston Texans,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Houston Texans,Arizona Cardinals,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:25 PM EST,Houston Texans,Las Vegas Raiders,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
