date,time,home_team,away_team,venue,city,competition,status,source
2025-08-07,7:00 PM EDT,Baltimore Ravens,Indianapolis Colts,M&T Bank Stadium,Baltimore,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Indianapolis Colts,Green Bay Packers,Lucas Oil Stadium,Indianapolis,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,1:00 PM EDT,Cincinnati Bengals,Indianapolis Colts,Paycor Stadium,Cincinnati,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Indianapolis Colts,Miami Dolphins,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,4:05 PM EDT,Indianapolis Colts,Denver Broncos,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Tennessee Titans,Indianapolis Colts,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:05 PM EDT,Los Angeles Rams,Indianapolis Colts,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,Indianapolis Colts,Las Vegas Raiders,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Indianapolis Colts,Arizona Cardinals,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,4:05 PM EDT,Los Angeles Chargers,Indianapolis Colts,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,4:25 PM EDT,Indianapolis Colts,Tennessee Titans,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Pittsburgh Steelers,Indianapolis Colts,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,9:30 AM EST,Indianapolis Colts,Atlanta Falcons,Olympic Stadium,Berlin,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Kansas City Chiefs,Indianapolis Colts,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Indianapolis Colts,Houston Texans,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Jacksonville Jaguars,Indianapolis Colts,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,4:25 PM EST,Seattle Seahawks,Indianapolis Colts,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-22,8:15 PM EST,Indianapolis Colts,San Francisco 49ers,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,Indianapolis Colts,Jacksonville Jaguars,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
