date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,7:00 PM EDT,Jacksonville Jaguars,Pittsburgh Steelers,EverBank Stadium,Jacksonville,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-17,1:00 PM EDT,New Orleans Saints,Jacksonville Jaguars,Caesars Superdome,New Orleans,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,7:00 PM EDT,Miami Dolphins,Jacksonville Jaguars,Hard Rock Stadium,Opa Locka,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Jacksonville Jaguars,Carolina Panthers,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Cincinnati Bengals,Jacksonville Jaguars,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Jacksonville Jaguars,Houston Texans,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:05 PM EDT,San Francisco 49ers,Jacksonville Jaguars,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-06,8:15 PM EDT,Jacksonville Jaguars,Kansas City Chiefs,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Jacksonville Jaguars,Seattle Seahawks,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,9:30 AM EDT,Jacksonville Jaguars,Los Angeles Rams,Wembley Stadium,London,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,4:05 PM EST,Las Vegas Raiders,Jacksonville Jaguars,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Houston Texans,Jacksonville Jaguars,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Jacksonville Jaguars,Los Angeles Chargers,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,4:05 PM EST,Arizona Cardinals,Jacksonville Jaguars,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Tennessee Titans,Jacksonville Jaguars,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Jacksonville Jaguars,Indianapolis Colts,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Jacksonville Jaguars,New York Jets,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:05 PM EST,Denver Broncos,Jacksonville Jaguars,Empower Field at Mile High,Denver,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,Indianapolis Colts,Jacksonville Jaguars,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
