date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,8:00 PM EDT,Arizona Cardinals,Kansas City Chiefs,State Farm Stadium,Glendale,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-15,10:00 PM EDT,Seattle Seahawks,Kansas City Chiefs,Lumen Field,Seattle,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-22,8:20 PM EDT,Kansas City Chiefs,Chicago Bears,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-05,8:00 PM EDT,Los Angeles Chargers,Kansas City Chiefs,Arena Corinthians,Sao Paulo,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,4:25 PM EDT,Kansas City Chiefs,Philadelphia Eagles,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,8:20 PM EDT,New York Giants,Kansas City Chiefs,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:25 PM EDT,Kansas City Chiefs,Baltimore Ravens,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-06,8:15 PM EDT,Jacksonville Jaguars,Kansas City Chiefs,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,8:20 PM EDT,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Kansas City Chiefs,Las Vegas Raiders,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-27,8:15 PM EDT,Kansas City Chiefs,Washington Commanders,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,4:25 PM EST,Buffalo Bills,Kansas City Chiefs,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,4:25 PM EST,Denver Broncos,Kansas City Chiefs,Empower Field at Mile High,Denver,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Kansas City Chiefs,Indianapolis Colts,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-27,4:30 PM EST,Dallas Cowboys,Kansas City Chiefs,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,8:20 PM EST,Kansas City Chiefs,Houston Texans,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Kansas City Chiefs,Los Angeles Chargers,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Tennessee Titans,Kansas City Chiefs,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-25,8:15 PM EST,Kansas City Chiefs,Denver Broncos,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
