date,time,home_team,away_team,venue,city,competition,status,source
2025-08-07,10:00 PM EDT,Seattle Seahawks,Las Vegas Raiders,Lumen Field,Seattle,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,4:05 PM EDT,Las Vegas Raiders,San Francisco 49ers,Allegiant Stadium,Paradise,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,10:00 PM EDT,Arizona Cardinals,Las Vegas Raiders,State Farm Stadium,Glendale,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,New England Patriots,Las Vegas Raiders,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-15,10:00 PM EDT,Las Vegas Raiders,Los Angeles Chargers,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Washington Commanders,Las Vegas Raiders,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:25 PM EDT,Las Vegas Raiders,Chicago Bears,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,Indianapolis Colts,Las Vegas Raiders,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,4:05 PM EDT,Las Vegas Raiders,Tennessee Titans,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Kansas City Chiefs,Las Vegas Raiders,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,4:05 PM EST,Las Vegas Raiders,Jacksonville Jaguars,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-06,8:15 PM EST,Denver Broncos,Las Vegas Raiders,Empower Field at Mile High,Denver,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-17,8:15 PM EST,Las Vegas Raiders,Dallas Cowboys,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,4:05 PM EST,Las Vegas Raiders,Cleveland Browns,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,4:25 PM EST,Los Angeles Chargers,Las Vegas Raiders,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,4:05 PM EST,Las Vegas Raiders,Denver Broncos,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Philadelphia Eagles,Las Vegas Raiders,Lincoln Financial Field,Philadelphia,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:25 PM EST,Houston Texans,Las Vegas Raiders,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
