date,time,home_team,away_team,venue,city,competition,status,source
2025-08-10,4:05 PM EDT,Los Angeles Chargers,New Orleans Saints,SoFi Stadium,Inglewood,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,7:00 PM EDT,Los Angeles Rams,Los Angeles Chargers,SoFi Stadium,Inglewood,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,8:30 PM EDT,San Francisco 49ers,Los Angeles Chargers,Levi's® Stadium,Santa Clara,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-05,8:00 PM EDT,Los Angeles Chargers,Kansas City Chiefs,Arena Corinthians,Sao Paulo,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-15,10:00 PM EDT,Las Vegas Raiders,Los Angeles Chargers,Allegiant Stadium,Paradise,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,4:05 PM EDT,Los Angeles Chargers,Denver Broncos,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,New York Giants,Los Angeles Chargers,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:25 PM EDT,Los Angeles Chargers,Washington Commanders,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Miami Dolphins,Los Angeles Chargers,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,4:05 PM EDT,Los Angeles Chargers,Indianapolis Colts,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-23,8:15 PM EDT,Los Angeles Chargers,Minnesota Vikings,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Tennessee Titans,Los Angeles Chargers,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,8:20 PM EST,Los Angeles Chargers,Pittsburgh Steelers,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Jacksonville Jaguars,Los Angeles Chargers,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,4:25 PM EST,Los Angeles Chargers,Las Vegas Raiders,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-08,8:15 PM EST,Los Angeles Chargers,Philadelphia Eagles,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Kansas City Chiefs,Los Angeles Chargers,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Dallas Cowboys,Los Angeles Chargers,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
