date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,4:00 PM EDT,Minnesota Vikings,Houston Texans,U.S. Bank Stadium,Minneapolis,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Minnesota Vikings,New England Patriots,U.S. Bank Stadium,Minneapolis,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-22,8:00 PM EDT,Tennessee Titans,Minnesota Vikings,Nissan Stadium,Nashville,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-08,8:15 PM EDT,Chicago Bears,Minnesota Vikings,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,8:20 PM EDT,Minnesota Vikings,Atlanta Falcons,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Minnesota Vikings,Cincinnati Bengals,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,9:30 AM EDT,Pittsburgh Steelers,Minnesota Vikings,Croke Park,Dublin,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,9:30 AM EDT,Cleveland Browns,Minnesota Vikings,Tottenham Hotspur Stadium,London,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Minnesota Vikings,Philadelphia Eagles,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-23,8:15 PM EDT,Los Angeles Chargers,Minnesota Vikings,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Detroit Lions,Minnesota Vikings,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Minnesota Vikings,Baltimore Ravens,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Minnesota Vikings,Chicago Bears,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Green Bay Packers,Minnesota Vikings,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,4:05 PM EST,Seattle Seahawks,Minnesota Vikings,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Minnesota Vikings,Washington Commanders,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,8:20 PM EST,Dallas Cowboys,Minnesota Vikings,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,New York Giants,Minnesota Vikings,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-25,4:30 PM EST,Minnesota Vikings,Detroit Lions,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
