date,time,home_team,away_team,venue,city,competition,status,source
2025-08-08,7:30 PM EDT,New England Patriots,Washington Commanders,Gillette Stadium,Foxborough,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Minnesota Vikings,New England Patriots,U.S. Bank Stadium,Minneapolis,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-21,8:00 PM EDT,New York Giants,New England Patriots,MetLife Stadium,East Rutherford,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,New England Patriots,Las Vegas Raiders,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Miami Dolphins,New England Patriots,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,New England Patriots,Pittsburgh Steelers,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,New England Patriots,Carolina Panthers,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,8:20 PM EDT,Buffalo Bills,New England Patriots,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,4:25 PM EDT,New Orleans Saints,New England Patriots,Caesars Superdome,New Orleans,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Tennessee Titans,New England Patriots,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,New England Patriots,Cleveland Browns,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,New England Patriots,Atlanta Falcons,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Tampa Bay Buccaneers,New England Patriots,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-13,8:15 PM EST,New England Patriots,New York Jets,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Cincinnati Bengals,New England Patriots,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-01,8:15 PM EST,New England Patriots,New York Giants,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,New England Patriots,Buffalo Bills,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Baltimore Ravens,New England Patriots,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,New York Jets,New England Patriots,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
