date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,8:00 PM EDT,Green Bay Packers,New York Jets,Lambeau Field,Green Bay,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,7:00 PM EDT,New York Giants,New York Jets,MetLife Stadium,East Rutherford,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-22,7:30 PM EDT,New York Jets,Philadelphia Eagles,MetLife Stadium,East Rutherford,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,New York Jets,Pittsburgh Steelers,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,New York Jets,Buffalo Bills,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Tampa Bay Buccaneers,New York Jets,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-29,7:15 PM EDT,Miami Dolphins,New York Jets,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,New York Jets,Dallas Cowboys,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,9:30 AM EDT,New York Jets,Denver Broncos,Tottenham Hotspur Stadium,London,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,New York Jets,Carolina Panthers,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Cincinnati Bengals,New York Jets,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,New York Jets,Cleveland Browns,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-13,8:15 PM EST,New England Patriots,New York Jets,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Baltimore Ravens,New York Jets,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,New York Jets,Atlanta Falcons,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,New York Jets,Miami Dolphins,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,Jacksonville Jaguars,New York Jets,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,New Orleans Saints,New York Jets,Caesars Superdome,New Orleans,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,New York Jets,New England Patriots,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
