date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,7:00 PM EDT,Jacksonville Jaguars,Pittsburgh Steelers,EverBank Stadium,Jacksonville,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,7:00 PM EDT,Pittsburgh Steelers,Tampa Bay Buccaneers,Acrisure Stadium,Pittsburgh,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-21,7:00 PM EDT,Carolina Panthers,Pittsburgh Steelers,Bank of America Stadium,Charlotte,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,New York Jets,Pittsburgh Steelers,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Pittsburgh Steelers,Seattle Seahawks,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,New England Patriots,Pittsburgh Steelers,Gillette Stadium,Foxborough,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,9:30 AM EDT,Pittsburgh Steelers,Minnesota Vikings,Croke Park,Dublin,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Pittsburgh Steelers,Cleveland Browns,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-16,8:15 PM EDT,Cincinnati Bengals,Pittsburgh Steelers,Paycor Stadium,Cincinnati,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,8:20 PM EDT,Pittsburgh Steelers,Green Bay Packers,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,Pittsburgh Steelers,Indianapolis Colts,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,8:20 PM EST,Los Angeles Chargers,Pittsburgh Steelers,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Pittsburgh Steelers,Cincinnati Bengals,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Chicago Bears,Pittsburgh Steelers,Soldier Field,Chicago,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,4:25 PM EST,Pittsburgh Steelers,Buffalo Bills,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Baltimore Ravens,Pittsburgh Steelers,M&T Bank Stadium,Baltimore,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-15,8:15 PM EST,Pittsburgh Steelers,Miami Dolphins,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,4:25 PM EST,Detroit Lions,Pittsburgh Steelers,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,Cleveland Browns,Pittsburgh Steelers,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
