date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,8:30 PM EDT,San Francisco 49ers,Denver Broncos,Levi's® Stadium,Santa Clara,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,4:05 PM EDT,Las Vegas Raiders,San Francisco 49ers,Allegiant Stadium,Paradise,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,8:30 PM EDT,San Francisco 49ers,Los Angeles Chargers,Levi's® Stadium,Santa Clara,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,4:05 PM EDT,Seattle Seahawks,San Francisco 49ers,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,New Orleans Saints,San Francisco 49ers,Caesars Superdome,New Orleans,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,4:25 PM EDT,San Francisco 49ers,Arizona Cardinals,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,4:05 PM EDT,San Francisco 49ers,Jacksonville Jaguars,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-02,8:15 PM EDT,Los Angeles Rams,San Francisco 49ers,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Tampa Bay Buccaneers,San Francisco 49ers,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,8:20 PM EDT,San Francisco 49ers,Atlanta Falcons,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Houston Texans,San Francisco 49ers,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,1:00 PM EST,New York Giants,San Francisco 49ers,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,4:25 PM EST,San Francisco 49ers,Los Angeles Rams,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,4:05 PM EST,Arizona Cardinals,San Francisco 49ers,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-24,8:15 PM EST,San Francisco 49ers,Carolina Panthers,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Cleveland Browns,San Francisco 49ers,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,4:25 PM EST,San Francisco 49ers,Tennessee Titans,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-22,8:15 PM EST,Indianapolis Colts,San Francisco 49ers,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,8:20 PM EST,San Francisco 49ers,Chicago Bears,Levi's® Stadium,Santa Clara,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
