date,time,home_team,away_team,venue,city,competition,status,source
2025-08-07,10:00 PM EDT,Seattle Seahawks,Las Vegas Raiders,Lumen Field,Seattle,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-15,10:00 PM EDT,Seattle Seahawks,Kansas City Chiefs,Lumen Field,Seattle,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,4:00 PM EDT,Green Bay Packers,Seattle Seahawks,Lambeau Field,Green Bay,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,4:05 PM EDT,Seattle Seahawks,San Francisco 49ers,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Pittsburgh Steelers,Seattle Seahawks,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,4:05 PM EDT,Seattle Seahawks,New Orleans Saints,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-25,8:15 PM EDT,Arizona Cardinals,Seattle Seahawks,State Farm Stadium,Glendale,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:05 PM EDT,Seattle Seahawks,Tampa Bay Buccaneers,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Jacksonville Jaguars,Seattle Seahawks,EverBank Stadium,Jacksonville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-20,10:00 PM EDT,Seattle Seahawks,Houston Texans,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,8:20 PM EST,Washington Commanders,Seattle Seahawks,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,4:05 PM EST,Seattle Seahawks,Arizona Cardinals,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,4:05 PM EST,Los Angeles Rams,Seattle Seahawks,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,1:00 PM EST,Tennessee Titans,Seattle Seahawks,Nissan Stadium,Nashville,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,4:05 PM EST,Seattle Seahawks,Minnesota Vikings,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Atlanta Falcons,Seattle Seahawks,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,4:25 PM EST,Seattle Seahawks,Indianapolis Colts,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-18,8:15 PM EST,Seattle Seahawks,Los Angeles Rams,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
