date,time,home_team,away_team,venue,city,competition,status,source
2025-08-09,7:30 PM EDT,Tampa Bay Buccaneers,Tennessee Titans,Raymond James Stadium,Tampa,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,7:00 PM EDT,Pittsburgh Steelers,Tampa Bay Buccaneers,Acrisure Stadium,Pittsburgh,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,7:30 PM EDT,Tampa Bay Buccaneers,Buffalo Bills,Raymond James Stadium,Tampa,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Atlanta Falcons,Tampa Bay Buccaneers,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-15,7:00 PM EDT,Houston Texans,Tampa Bay Buccaneers,NRG Stadium,Houston,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Tampa Bay Buccaneers,New York Jets,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Tampa Bay Buccaneers,Philadelphia Eagles,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:05 PM EDT,Seattle Seahawks,Tampa Bay Buccaneers,Lumen Field,Seattle,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Tampa Bay Buccaneers,San Francisco 49ers,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-20,7:00 PM EDT,Detroit Lions,Tampa Bay Buccaneers,Ford Field,Detroit,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,4:05 PM EDT,New Orleans Saints,Tampa Bay Buccaneers,Caesars Superdome,New Orleans,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Tampa Bay Buccaneers,New England Patriots,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,1:00 PM EST,Buffalo Bills,Tampa Bay Buccaneers,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-23,8:20 PM EST,Los Angeles Rams,Tampa Bay Buccaneers,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Tampa Bay Buccaneers,Arizona Cardinals,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Tampa Bay Buccaneers,New Orleans Saints,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-11,8:15 PM EST,Tampa Bay Buccaneers,Atlanta Falcons,Raymond James Stadium,Tampa,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,1:00 PM EST,Carolina Panthers,Tampa Bay Buccaneers,Bank of America Stadium,Charlotte,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,Miami Dolphins,Tampa Bay Buccaneers,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
