date,time,home_team,away_team,venue,city,competition,status,source
2025-08-08,7:30 PM EDT,New England Patriots,Washington Commanders,Gillette Stadium,Foxborough,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-18,8:00 PM EDT,Washington Commanders,Cincinnati Bengals,Northwest Stadium,Landover,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,12:00 PM EDT,Washington Commanders,Baltimore Ravens,Northwest Stadium,Landover,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Washington Commanders,New York Giants,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-11,8:15 PM EDT,Green Bay Packers,Washington Commanders,Lambeau Field,Green Bay,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-21,1:00 PM EDT,Washington Commanders,Las Vegas Raiders,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-28,1:00 PM EDT,Atlanta Falcons,Washington Commanders,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,4:25 PM EDT,Los Angeles Chargers,Washington Commanders,SoFi Stadium,Inglewood,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-13,8:15 PM EDT,Washington Commanders,Chicago Bears,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,4:25 PM EDT,Dallas Cowboys,Washington Commanders,AT&T Stadium,Arlington,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-27,8:15 PM EDT,Kansas City Chiefs,Washington Commanders,GEHA Field at Arrowhead Stadium,Kansas City,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-02,8:20 PM EST,Washington Commanders,Seattle Seahawks,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,4:25 PM EST,Washington Commanders,Detroit Lions,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,9:30 AM EST,Miami Dolphins,Washington Commanders,Santiago Bernabeu Stadium,Madrid,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,8:20 PM EST,Washington Commanders,Denver Broncos,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,Minnesota Vikings,Washington Commanders,U.S. Bank Stadium,Minneapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-14,1:00 PM EST,New York Giants,Washington Commanders,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-25,1:00 PM EST,Washington Commanders,Dallas Cowboys,Northwest Stadium,Landover,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
